Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
sum up (sth/sb) or sum (sth/sb) up,,,,,Prod
summary,n,,,,Prod
super,adj,superb,adj,,Prod
support,"v, n",supporter,n,encourage (e.g. sports fan); look after especially financially,Prod
supposed,adj,,,,Prod
surface,n,,,,Rec
survive,v,"survival; survivor","n; n",,Prod
suspect,"v, n",suspicion; suspicious,n; adj,,Rec
swear,v,,,promise,Rec
swear,v,,,curse,Rec
sweep,v,,,,Prod
switch,n,,,electrical on-off device,Rec
sword,n,,,,Prod
symbol,n,symbolic,adj,,Prod
table,n,,,chart etc.,Rec
tail,n,,,,Prod
take a risk,,,,,Rec
take advantage of sth,,,,,Rec
take into account sth,,,,,Rec
take part,,,,,Prod
take place,,,,,Rec
take pleasure/pride/an interest etc.,,,,,Rec
take sb out or take out sb,,,,,Rec
take sb's place,,,,,Rec
take the/this opportunity to do sth,,,,,Rec
take sb/sth seriously,seriously,adv,,Prod
take/accept/claim responsibility for sth,,,,,Rec
tap,n,,,,Rec
tear,"v, n",,,rip,Rec
temple,n,,,,Prod
term,n,,,rules,Rec
terminal,n,,,,Rec
territory,n,,,,Prod
terror,n,"terrorism; terrorist","n; n",,Prod
thanks to sb/sth,,,,,Prod
that kind/sort of thing,,,,,Prod
that's it,,,,,Prod
the following day / morning etc.,,,,,Prod
the headlines,,,,,Rec
the heart of sth,,,,,Rec
the main thing,,,,,Prod
the reality/realities of sth,,,,,Prod
theme,n,,,,Prod
theory,n,theoretical,adj,,Prod
thief,n,theft,n,,Prod
throw away/out sth or throw sth away/out,,,,,Rec
tie sb/sth up or tie up sb/sth,,,,,Rec
tight,"adj, adv",,,clothes; firm; controlled,Rec
tip,n,,,piece of advice,Rec
tired of doing sth,tiring,adj,,Prod
to,prep,,,range,
to start with,,,,,Prod
touch,n,,,act of touching; affect emotionally,Prod
tough,adj,,,,Prod
tournament,n,,,,Prod
track,n,,,athletics,Rec
trade,n,,,industry,Rec
tragedy,n,tragic,adj,occupation; job,Rec
transfer,v,,,,Rec
transport,"n, v",transportation,n,,Rec
trash,n,,,,Prod
treasure,n,,,,Prod
treatment,n,,,dealing with,Prod
triangle,n,,,,Prod
tribe,n,,,,Prod
trick,"n, v",tricky,adj,,Prod
try,n,,,attempt,Prod
tube,n,,,,Prod
turn,n,,,chance; opportunity,Prod
